X,Y,id,label,insee,label_commune,departement,label_departement,type,label_type,typologie,influence,date_debut,date_fin,en_service,OBJECTID
4.84702,45.7539300000173,FR20083,Métro_SaxeGambetta,69123,Lyon,69,Rhône,1,FIXE,Enceinte Ferroviaire souterain,non renseignée,2019/01/08 15:00:00+00,,1,49
3.11383287380311,45.7972791530897,FR07004,Montferrand,,Clermont-Ferrand,63,Puy-de-Dôme,1,FIXE,Urbain,fond,1993/02/06 00:00:00+00,,1,95
3.08750024655376,45.7721654521019,FR07009,Jardin Lecoq,,Clermont-Ferrand,63,Puy-de-Dôme,1,FIXE,Urbain,fond,2003/01/02 00:00:00+00,,1,96
2.96458298980025,45.7721668057909,FR07015,Sommet du Puy de Dom,,Orcines,63,Puy-de-Dôme,1,FIXE,Rural Proche,fond,1994/03/29 00:00:00+00,,1,97
3.600944444,46.6528222190584,FR07022,Paray le Fresil,,Paray-le-Frésil,3,Allier,1,FIXE,Rural Régional,fond,2002/05/30 00:00:00+00,,1,98
2.82980641665548,45.9293332214828,FR07028,Les_Ancizes,,Les Ancizes-Comps,63,Puy-de-Dôme,1,FIXE,Péri Urbain,industrielle,2003/11/15 00:00:00+00,,1,99
3.27736052442012,45.1047213544568,FR07031,Rageade,,Rageade,15,Cantal,1,FIXE,Rural Régional,fond,2004/04/02 00:00:00+00,,1,100
3.09625007366983,45.7756972526841,FR07034,Esplanade Gare,,Clermont-Ferrand,63,Puy-de-Dôme,1,FIXE,Urbain,trafic,2005/05/03 00:00:00+00,,1,101
3.06297235919616,45.7747752162983,FR07039,Chamalières Europe,,Chamalières,63,Puy-de-Dôme,1,FIXE,Urbain,trafic,2009/03/05 00:00:00+00,,1,102
3.142722208,45.7836937690571,FR07042,Site autoroutier A71,,Clermont-Ferrand,63,Puy-de-Dôme,1,FIXE,Péri Urbain,trafic,2011/12/22 00:00:00+00,,1,103
3.15619444,45.7683888990571,FR07051,Beaulieu,,Clermont-Ferrand,63,Puy-de-Dôme,1,FIXE,Péri Urbain,industrielle,2014/12/01 00:00:00+00,,1,104
2.44108170250729,44.9200784504904,FR07052,Aurillac-Lagarde,,Aurillac,15,Cantal,1,FIXE,Urbain,fond,2015/03/31 00:00:00+00,,1,105
3.1115918098769,45.7804332099522,FR07053,Edouard Michelin,,Clermont-Ferrand,63,Puy-de-Dôme,1,FIXE,Urbain,trafic,2015/03/31 00:00:00+00,,1,106
3.886574,45.0386659990567,FR07054,Le Puy-Causans,,Le Puy-en-Velay,43,Haute-Loire,1,FIXE,Urbain,fond,2015/02/16 00:00:00+00,,1,107
4.22600615425623,44.9837691550822,FR07056,Pays du Mezenc,,Fay-sur-Lignon,43,Haute-Loire,1,FIXE,Rural Régional,fond,2016/09/08 00:00:00+00,,1,108
3.34063902708634,46.5619750719314,FR07057,Moulins Centre,,Moulins,3,Allier,1,FIXE,Urbain,fond,2016/12/13 00:00:00+00,,1,109
2.59394525567294,46.3407192663015,FR07058,Montluçon,,Montluçon,3,Allier,1,FIXE,Urbain,fond,2017/01/02 00:00:00+00,,1,110
3.42568794945982,46.1304319863483,FR07059,Vichy,,Vichy,3,Allier,1,FIXE,Urbain,fond,2018/01/26 00:00:00+00,,1,111
3.04611147412829,45.7641125700537,FR07060,Royat Périurbaine,,Royat,63,Puy-de-Dôme,1,FIXE,Péri Urbain,fond,2018/01/04 00:00:00+00,,1,112
3.12217207212471,45.8967118375155,FR07061,Riom Périurbaine,,Riom,63,Puy-de-Dôme,1,FIXE,Péri Urbain,fond,2019/01/03 00:00:00+00,,1,113
3.11111132250507,45.8074889323794,FR07202,Leclanche,,Clermont-Ferrand,63,Puy-de-Dôme,1,FIXE,Urbain,fond,2013/02/01 00:00:00+00,,1,114
5.72865271660375,45.0795406217023,FR15013,Champ sur Drac,,Champ-sur-Drac,38,Isère,1,FIXE,Péri Urbain,fond,1985/01/04 00:00:00+00,,1,115
5.58941895510312,45.3601764510984,FR15018,Voiron Urbain,,Voiron,38,Isère,1,FIXE,Urbain,fond,2010/11/25 00:00:00+00,,1,116
6.46940045121,44.9970037374962,FR15031,Le Casset2,,Le Monêtier-les-Bains,5,Hautes-Alpes,1,FIXE,Rural National,fond,1997/01/15 00:00:00+00,,1,117
5.75309977136998,45.1828009797868,FR15038,St Martin dHeres,,Saint-Martin-d'Hères,38,Isère,1,FIXE,Urbain,fond,1998/08/25 00:00:00+00,,1,118
5.73559991904383,45.1619011804099,FR15043,Grenoble Les Frenes,,Grenoble,38,Isère,1,FIXE,Urbain,fond,2001/01/30 00:00:00+00,,1,119
5.676897,45.0580360990567,FR15045,Grenoble PeriurbSud,,Vif,38,Isère,1,FIXE,Péri Urbain,fond,2008/01/16 00:00:00+00,,1,120
5.72062472140701,45.1806917557997,FR15046,Grenoble Boulevards,,Grenoble,38,Isère,1,FIXE,Urbain,trafic,2007/01/03 00:00:00+00,,1,121
5.88219963350274,45.2796995730394,FR15048,Gresivaudan Periurb,,Crolles,38,Isère,1,FIXE,Péri Urbain,fond,2007/12/27 00:00:00+00,,1,122
5.745225,45.1546779990568,FR15053,RocadeSud_Eybens,,Eybens,38,Isère,1,FIXE,Urbain,trafic,2020/11/03 00:00:00+00,,1,123
4.818099,45.7202899990571,FR20013,A7 SUD LYONNAIS,,La Mulatière,69,Rhône,1,FIXE,Péri Urbain,trafic,1999/02/09 00:00:00+00,,1,124
4.82979418979318,45.7352918158705,FR20017,GERLAND,,Lyon,69,Rhône,1,FIXE,Urbain,fond,1993/06/04 00:00:00+00,,1,125
4.84589976865469,45.6638985278197,FR20029,FEYZIN STADE,,Feyzin,69,Rhône,1,FIXE,Péri Urbain,industrielle,1985/01/01 00:00:00+00,,1,126
4.86439963452499,45.7078018043492,FR20031,ST FONS CENTRE,,Saint-Fons,69,Rhône,1,FIXE,Urbain,industrielle,1981/01/01 00:00:00+00,,1,127
